Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
UQCR-Q,FBgn0036728,HuDis670,,,,FBgn0036728,UQCR-Q
Utx,FBgn0260749,HuDis670,,,,FBgn0260749,Utx
Vang,FBgn0015838,HuDis670,,,,FBgn0015838,Vang
vanin-like,FBgn0040069,HuDis670,,,,FBgn0040069,vanin-like
vap,FBgn0003969,HuDis670,,,,FBgn0003969,vap
veil,FBgn0034225,HuDis670,,,,FBgn0034225,veil
VhaM8.9,FBgn0037671,HuDis670,,,,FBgn0037671,ATP6AP2
vimar,FBgn0022960,HuDis670,,,,FBgn0022960,vimar
Vinc,FBgn0004397,HuDis670,,,,FBgn0004397,Vinc
Vkor,FBgn0053544,HuDis670,,,,FBgn0053544,Vkor
vnc,FBgn0263251,HuDis670,,,,FBgn0263251,vnc
Vps13,FBgn0033194,HuDis670,,,,FBgn0033194,Vps13
Vps35,FBgn0034708,HuDis670,,,,FBgn0034708,Vps35
wal,FBgn0010516,HuDis670,,,,FBgn0010516,wal
WASp,FBgn0024273,HuDis670,,,,FBgn0024273,WASp
WDR79,FBgn0031782,HuDis670,,,,FBgn0031782,WDR79
wfs1,FBgn0039003,HuDis670,,,,FBgn0039003,wfs1
whd,FBgn0261862,HuDis670,,,,FBgn0261862,whd
Wwox,FBgn0031972,HuDis670,,,,FBgn0031972,Wwox
xit,FBgn0029906,HuDis670,,,,FBgn0029906,xit
Xpac,FBgn0004832,HuDis670,,,,FBgn0004832,Xpac
Xpd,FBgn0261850,HuDis670,,,,FBgn0261850,Xpd
Zip99C,FBgn0039714,HuDis670,,,,FBgn0039714,Zip99C
Zw,FBgn0004057,HuDis670,,,,FBgn0004057,Zw
